car_full_nm,car_0_60_time_seconds
Mercedes SLS AMG Roadster GT - [2012],3.7
Pagani Zonda C12 S 7.3 - [2002],3.7
Porsche 959 Turbo - [1987],3.7
Porsche Panamera 4.8 V8 Turbo S - [2011],3.7
Subaru Impreza STI CS 400 - Cosworth - Hatch - [2010],3.7
Subaru Impreza WRX STI R205 Spec C - Hatch - [2010],3.7
Bentley Continental SuperSports 6.0 W12 - [2009],3.8
Bentley Continental SuperSports Flying Star - [2010],3.8
Caterham 7 Superlight R400 - [2006],3.8
Chevrolet Corvette C6 ZR1 6.2 V8 - [2009],3.8
Chevrolet Corvette Callaway C16 - [2007],3.8
Dodge Viper SRT10 ACR - [2007],3.8
Ferrari California 30 F1 4.3l V8 - [2012],3.8
Ferrari F40 2.9 V8 - [1987],3.8
Ford GT 5.4 V8 - [2003],3.8
Koenigsegg CCR 4.7 V8 Supercharged - [2005],3.8
Lamborghini Diablo 6.0 V12 - [2000],3.8
Lamborghini Gallardo 5.0 V10 Superleggera - [2007],3.8
Lamborghini Gallardo LP570-4 Spyder Performante Edizione - [2013],3.8
Lotus 2-Eleven 1.8 Supercharged - [2007],3.8
Lotus Evora GTE 3.5 V6 - [2012],3.8
Maserati MC12 6.0 V12 - [2004],3.8
Mercedes S Class 63 Coupe 4Matic - [2014],3.8
Mercedes SLR Class McLaren - [2003],3.8
Mercedes SLR Class McLaren Roadster - [2009],3.8
Nissan R390 3.5L V8 - [1997],3.8
Pagani Zonda Roadster - [2003],3.8
Porsche 911 GT3 4.0 997 - [2011],3.8
Radical SR3 1.5 16V - [2001],3.8
Audi R8 5.2 FSI Quattro V10 - [2009],3.9
Caterham 7 CSR 260 - [2005],3.9
Caterham 7 Superlight R400 - [2003],3.9
Ferrari California 4.3 V8 - [2008],3.9
Ferrari F430 4.3 V8 - [2004],3.9
Ford Mustang Boss 302 - [2010],3.9
Jaguar XK R-S GT 5.0 V8 - [2013],3.9
KTM X-Bow R 2.0 Turbo - [2013],3.9
Lamborghini Diablo VT 6.0L V12 - [2000],3.9
Lotus Exige 240 R - [2005],3.9
Lotus Exige S 3.5 V6 - [2012],3.9
Lotus Exige S 3.5 V6 Roadster - [2012],3.9
Mercedes CLK DTM AMG 5.4 V8 - [2004],3.9
Mercedes CLK DTM Cabriolet - [2006],3.9
Mercedes SL Class 65 AMG V12 - [2012],3.9
Mercedes SL Class 65 AMG V12 R230 - [2004],3.9
Mercedes SLS 6.2 V8 AMG Coupe DCT-7 - [2009],3.9
Mercedes SLS Electric Drive AMG - [2013],3.9
Mitsubishi Lancer Evo IX FQ 360 - [2006],3.9
Noble M12 GTO 2.6 V6 Turbo - [2001],3.9
Noble M12 GTO 3R - [2003],3.9
Porsche 911 Turbo 993 - [1995],3.9
Porsche 911 Turbo 996 - [2000],3.9
Porsche 911 Turbo S 993 - [1998],3.9
Porsche Carrera GT - [2003],3.9
TVR Cerbera 4.5 - [1997],3.9
TVR Sagaris 4.0 - [2003],3.9
TVR Tuscan S 4.0 - [2001],3.9
Tesla Roadster Electric 248bhp - [2009],3.9
Wiesmann GT MF5 - [2009],3.9
AC Cobra 212 S/C - [2001],4.0
Aston-Martin Vanquish 5.9 V12 - [2012],4.0
Aston-Martin Vanquish 5.9 V12 RS - [2009],4.0
Audi A8 S8 4.0 V8 Turbo - [2012],4.0
Audi A8 S8 4.0 V8 Turbo - [2013],4.0
Audi R8 Spyder 5.2L V10 - [2009],4.0
Bentley Continental GT Speed - [2012],4.0
Bentley Continental GT Speed 6.0 W12 - [2014],4.0
Chevrolet Camaro ZL1 6.2L V8 - [2011],4.0
Chevrolet Corvette 6.2 V8 2d - [2007],4.0
Dodge Viper GTS - [1996],4.0
Dodge Viper SRT-10 8.3 V10 - [2003],4.0
Dodge Viper SRT-10 8.3 V10 - [2005],4.0
Ferrari 360 Challenge Stradale - [2003],4.0
Ford Mustang Shelby GT500 - [2006],4.0
KTM X-Bow GT 2.0 Turbo - [2013],4.0
Lamborghini Diablo SE 5.7 V12 - [1994],4.0
Mercedes CLS Class 63 AMG Shooting Brake PP - [2012],4.0
Porsche 911 GT2 996 - [2004],4.0
Porsche 911 Turbo 997 - [2006],4.0
Porsche Panamera Turbo 4.8 V8 - [2013],4.0
TVR Cerbera 4.2 - [1996],4.0
Alfa-Romeo Disco Volante 4.7 V8 - [2013],4.1
Ascari KZ1 5.0 V8 - [2003],4.1
Aston-Martin Vantage V12 Zagato - [2012],4.1
Audi A7 RS7 Sportback Twin Turbo - [2013],4.1
BMW 5 Series M5 Competition Pack F10 - [2013],4.1
BMW 6 Series M6 4.4 V8 F13 - [2012],4.1
